parameter,value,fusion_r2
loading,0.2,0.548
loading,0.4,0.785
loading,0.6,0.848
loading,0.8,0.872
loading,1.2,0.89
noise,0.5,0.929
noise,1.0,0.848
noise,2.0,0.615
noise,4.0,0.245
